HWAV_RISKR,n_tracts,mean_asthma,mean_chd,mean_compound_risk
No Rating,1070,10.519845111326234,6.779961277831559,37.0266004310197
Very Low,12788,10.780037766387915,6.689173635464437,27.4601550766161
Relatively Low,32128,10.389328754911347,6.3476937299831615,42.679516734372605
Relatively Moderate,23975,10.435723684210526,6.405425438596492,62.14322184638383
Relatively High,10157,10.69111759380344,6.7275223820541195,76.9509028369381
Very High,2917,10.595465116279069,6.27624031007752,71.47457531808065
