IFLD_RISKR,n_tracts,mean_depression,mean_mental_hlth
No Rating,59,20.974999999999998,17.825
Very Low,12446,22.139108269247387,17.63333621360062
Relatively Low,27948,22.097363656935958,17.140838802142266
Relatively Moderate,25135,22.08450728217358,16.780955625585555
Relatively High,13995,21.97997374111832,16.572559468643806
Very High,3629,21.906800117750954,16.510332646452753
